iscii,bn,gu,hi,kn,ml,mr,or,pa,ta,te
A0,,ૐ,ॐ,,,ॐ,,,,
A1,ঁ,ઁ,ँ,,,ँ,ଁ,ਁ,,ఁ
A2,ং,ં,ं,ಂ,ം,ं,ଂ,ਂ,ஂ,ం
A3,ঃ,ઃ,ः,ಃ,ഃ,ः,ଃ,ਃ,ஃ,ః
A4,অ,અ,अ,ಅ,അ,अ,ଅ,ਅ,அ,అ
A5,আ,આ,आ,ಆ,ആ,आ,ଆ,ਆ,ஆ,ఆ
A6,ই,ઇ,इ,ಇ,ഇ,इ,ଇ,ਇ,இ,ఇ
A6*,ঌ,ઌ,ऌ,ಌ,ഌ,ऌ,ଌ,,,ఌ
A7,ঈ,ઈ,ई,ಈ,ഈ,ई,ଈ,ਈ,ஈ,ఈ
A7*,ৡ,ૡ,ॡ,ೡ,ൡ,ॡ,ୡ,,,ౡ
A8,উ,ઉ,उ,ಉ,ഉ,उ,ଉ,ਉ,உ,ఉ
A9,ঊ,ઊ,ऊ,ಊ,ഊ,ऊ,ଊ,ਊ,ஊ,ఊ
AA,ঋ,ઋ,ऋ,ಋ,ഋ,ऋ,ଋ,,,ఋ
AA*,ৠ,ૠ,ॠ,ೠ,ൠ,ॠ,ୠ,,,ౠ
AB,,,ऎ,ಎ,എ,ऎ,,,எ,ఎ
AC,এ,એ,ए,ಏ,ഏ,ए,ଏ,ਏ,ஏ,ఏ
AD,ঐ,ઐ,ऐ,ಐ,ഐ,ऐ,ଐ,ਐ,ஐ,ఐ
AE,,ઍ,ऍ,,,ऍ,,,,
AF,,,ऒ,ಒ,ഒ,ऒ,,,ஒ,ఒ
B0,ও,ઓ,ओ,ಓ,ഓ,ओ,ଓ,ਓ,ஓ,ఓ
B1,ঔ,ઔ,औ,ಔ,ഔ,औ,ଔ,ਔ,ஔ,ఔ
B2,,ઑ,ऑ,,,ऑ,,,,
B3,ক,ક,क,ಕ,ക,क,କ,ਕ,க,క
B3*,,,क़,,,क़,,,,
B4,খ,ખ,ख,ಖ,ഖ,ख,ଖ,ਖ,,ఖ
B4*,,,ख़,,,ख़,,ਖ਼,,
B5,গ,ગ,ग,ಗ,ഗ,ग,ଗ,ਗ,,గ
B5*,,,ग़,,,ग़,,ਗ਼,,
B6,ঘ,ઘ,घ,ಘ,ഘ,घ,ଘ,ਘ,,ఘ
B7,ঙ,ઙ,ङ,ಙ,ങ,ङ,ଙ,ਙ,ங,ఙ
B8,চ,ચ,च,ಚ,ച,च,ଚ,ਚ,ச,చ
B9,ছ,છ,छ,ಛ,ഛ,छ,ଛ,ਛ,,ఛ
BA,জ,જ,ज,ಜ,ജ,ज,ଜ,ਜ,ஜ,జ
BA*,,,ज़,,,ज़,,ਜ਼,,
BB,ঝ,ઝ,झ,ಝ,ഝ,झ,ଝ,ਝ,,ఝ
BC,ঞ,ઞ,ञ,ಞ,ഞ,ञ,ଞ,ਞ,ஞ,ఞ
BD,ট,ટ,ट,ಟ,ട,ट,ଟ,ਟ,ட,ట
BE,ঠ,ઠ,ठ,ಠ,ഠ,ठ,ଠ,ਠ,,ఠ
BF,ড,ડ,ड,ಡ,ഡ,ड,ଡ,ਡ,,డ
BF*,ড়,,ड़,,,ड़,ଡ଼,ੜ,,
C0,ঢ,ઢ,ढ,ಢ,ഢ,ढ,ଢ,ਢ,,ఢ
C0*,ঢ়,,ढ़,,,ढ़,ଢ଼,,,
C1,ণ,ણ,ण,ಣ,ണ,ण,ଣ,ਣ,ண,ణ
C2,ত,ત,त,ತ,ത,त,ତ,ਤ,த,త
C3,থ,થ,थ,ಥ,ഥ,थ,ଥ,ਥ,,థ
C4,দ,દ,द,ದ,ദ,द,ଦ,ਦ,,ద
C5,ধ,ધ,ध,ಧ,ധ,ध,ଧ,ਧ,,ధ
C6,ন,ન,न,ನ,ന,न,ନ,ਨ,ந,న
C7,,,ऩ,,,ऩ,,,ன,
C8,প,પ,प,ಪ,പ,प,ପ,ਪ,ப,ప
C9,ফ,ફ,फ,ಫ,ഫ,फ,ଫ,ਫ,,ఫ
C9*,,,फ़,ೞ,,फ़,,ਫ਼,,
CA,ব,બ,ब,ಬ,ബ,ब,ବ,ਬ,,బ
CB,ভ,ભ,भ,ಭ,ഭ,भ,ଭ,ਭ,,భ
CC,ম,મ,म,ಮ,മ,म,ମ,ਮ,ம,మ
CD,য,ય,य,ಯ,യ,य,ଯ,ਯ,ய,య
CE,য়,,य़,,,य़,ୟ,,,
CF,র,ર,र,ರ,ര,र,ର,ਰ,ர,ర
D0,,,ऱ,ಱ,റ,ऱ,,,ற,ఱ
D1,ল,લ,ल,ಲ,ല,ल,ଲ,ਲ,ல,ల
D2,,ળ,ळ,ಳ,ള,ळ,ଳ,ਲ਼,ள,ళ
D3,,,ऴ,,ഴ,ऴ,,,ழ,
D4,ব,વ,व,ವ,വ,व,ଵ,ਵ,வ,వ
D5,শ,શ,श,ಶ,ശ,श,ଶ,ਸ਼,ஶ,శ
D6,ষ,ષ,ष,ಷ,ഷ,ष,ଷ,,ஷ,ష
D7,স,સ,स,ಸ,സ,स,ସ,ਸ,ஸ,స
D8,হ,હ,ह,ಹ,ഹ,ह,ହ,ਹ,ஹ,హ
D9,,,,,,,,,,
DA,া,ા,ा,ಾ,ാ,ा,ା,ਾ,ா,ా
DB,ি,િ,ि,ಿ,ി,ि,ି,ਿ,ி,ి
DB*,ৢ,ૢ,ॢ,ೢ,ൢ,ॢ,ୢ,,,ౢ
DC,ী,ી,ी,ೀ,ീ,ी,ୀ,ੀ,ீ,ీ
DC*,ৣ,ૣ,ॣ,ೣ,ൣ,ॣ,ୣ,,,ౣ
DD,ু,ુ,ु,ು,ു,ु,ୁ,ੁ,ு,ు
DE,ূ,ૂ,ू,ೂ,ൂ,ू,ୂ,ੂ,ூ,ూ
DF,ৃ,ૃ,ृ,ೃ,ൃ,ृ,ୃ,,,ృ
DF*,ৄ,ૄ,ॄ,ೄ,ൄ,ॄ,ୄ,,,ౄ
E0,,,ॆ,ೆ,െ,ॆ,,,ெ,ె
E1,ে,ે,े,ೇ,േ,े,େ,ੇ,ே,ే
E2,ৈ,ૈ,ै,ೈ,ൈ,ै,ୈ,ੈ,ை,ై
E3,,ૅ,ॅ,,,ॅ,,,,
E4,,,ॊ,ೊ,ൊ,ॊ,,,ொ,ొ
E5,ো,ો,ो,ೋ,ോ,ो,ୋ,ੋ,ோ,ో
E6,ৌ,ૌ,ौ,ೌ,ൌ,ौ,ୌ,ੌ,ௌ,ౌ
E7,,ૉ,ॉ,,,ॉ,,,,
E8,্,્,्,್,്,्,୍,੍,்,్
E9,়,઼,़,಼,,़,଼,਼,,
EA,,,।,,,।,,,,
EA*,ঽ,ઽ,ऽ,ಽ,ഽ,ऽ,ଽ,,,ఽ
EB,,,,,,,,,,
EC,,,,,,,,,,
ED,,,,,,,,,,
EE,,,,,,,,,,
EF,,,,,,,,,,
F0,,,,,,,,,,
F1,০,૦,०,೦,൦,०,୦,੦,௦,౦
F2,১,૧,१,೧,൧,१,୧,੧,௧,౧
F3,২,૨,२,೨,൨,२,୨,੨,௨,౨
F4,৩,૩,३,೩,൩,३,୩,੩,௩,౩
F5,৪,૪,४,೪,൪,४,୪,੪,௪,౪
F6,৫,૫,५,೫,൫,५,୫,੫,௫,౫
F7,৬,૬,६,೬,൬,६,୬,੬,௬,౬
F8,৭,૭,७,೭,൭,७,୭,੭,௭,౭
F9,৮,૮,८,೮,൮,८,୮,੮,௮,౮
FA,৯,૯,९,೯,൯,९,୯,੯,௯,౯
FB,,,,,,,,,,
FC,,,,,,,,,,
FD,,,,,,,,,,
FE,,,,,,,,,,
FF,,,,,,,,,,
